text,language
La soa madre virge fu,Old French
et sen peched si portet lui,Old French
sos munument fure toz nous,Old French
anz lui no|i iag unque nulz om;,Old French
Non fud assaz anc als felluns,Old French
davant pilat trestuit en van,Old French
nos-te prae-iam per ta mercet,Old French
gardes i|met non sia emblez;,Old French
Quar el zo dis que resurdra,Old French
et al terz di vivs pareistra,Old French
emblar l'auran li soi fidel,Old French
a|toz diran que revis-quet.,Old French
Granz en avem agud errors,Old French
or en aurem pece maiors,Old French
armaz vassalz dunc lor livret,Old French
lo monument lor comandet,Old French
Χρistus ihesus qui deus es vers,Old French
qui semper fu et semper es,Old French
ia fos la chans de|lui aucise,Old French
regnet per o cum anz se feira;,Old French
Qua el en-fern dunc a|salit,Old French
fort satanan a|lo venquet,Old French
per soa|mort si|l'a vencut,Old French
que|contra omne non vertud:,Old French
Et qui era li|om primers,Old French
el|soi enffant per son pecchiad,Old French
et|li petit e|li gran,Old French
et qui estevent per|mulz|anz;,Old French
Quar anc non fo nul om carnals,Old French
en cel enfern non foz anaz,Old French
usque vengues qui sens pecat,Old French
per|toz sol|fes comuna lei;,Old French
Argent ne aur non i|donet,Old French
mas|que son sang et soa carn,Old French
deg cel enfern toz nos livdret,Old French
en paradis nos arberget,Old French
Et al terz di lo mattin clar,Old French
cum soleilz fo esclairaz,Old French
tres femnes van al monument,Old French
molt cars portavent unguemenz;,Old French
L'angeles deu de|cel dessend,Old French
si|s'aproismet al|monument,Old French
tal a regard cum focs|ardenz,Old French
et cum laneus blanc vestimenz,Old French
En pas qu'el vidren les custodes,Old French
si s'espauriren de pavor,Old French
que quaisses morz a|terra vengren,Old French
de|grand pavor que sobl'el vengre.,Old French
Sus en la peddre l'angel set,Old French
si parlet a|las femnes dis,Old French
nos neient ci per que crement,Old French
que ihesum χρist ben requeret,Old French
Anaz enes et non es ci,Old French
tot acom-plit quim-que vos dis,Old French
venez veder lo loc voiant,Old French
o li sos corps iac des abanz,Old French
A sos fidel tot annunciaz,Old French
mas vos pet-drun no|i|ob-lidez,Old French
en|galilea avant envai,Old French
allo|l|vetran o dit lor ad;,Old French
Elles d'equi cum sunt tor-nades,Old French
ihesus las|a|senpr|encontradas;,Old French
dunc recon-nos-sent lo senior,Old French
si l'adorent cum redemptor;,Old French
Lo nostrae seindrae en|eps cel di,Old French
veduz furae veiades cinc,Old French
primera|l|vit sancta mariae,Old French
de cui sep diables fors medre,Old French
Em-pres lo vidren celles duaes,Old French
del munument cum se retor-nent,Old French
perdres lo vit en|eps cel di,Old French
ab lui parlet si|l|con-iaudit;,Old French
En-vers lo vesprae envers lo ser,Old French
dunc lo re-vidren soi fidel,Old French
castel emaus ab elz entret,Old French
ab|el ensemble si sopet;,Old French
Ia|s'adunent li soi fidel,Old French
ia dicen tuit que vivs era,Old French
cum il menaven tal raizon,Old French
ihesus estet en met trestoz;,Old French
Pax vobis sit dis a|trestoz,Old French
eu soi ihesus qui passus soi,Old French
vedez mas mans vedez mos peds,Old French
vedez mo laz qui fui plagas;,Old French
Fort-ment sun il espaventet,Old French
illi non credent que aia carn,Old French
zo pensent il que entre el,Old French
le spiritus aparegues;,Old French
Mel e|peisons equi manget,Old French
en veritad los confirmet,Old French
sa passions peisons tostaz,Old French
lo mels signa deitat;,Old French
Alques vos ai deit de|raizon,Old French
que ihesus fez por passion,Old French
tot no|l vos posc eu ben comptar.,Old French
no|l pod nul om de madre naz.,Old French
A sos fidel quaranta dis,Old French
per mulz sem-blanz,Old French
ensembl|ab|elz bec e|man-ied,Old French
de|regnum deu semper parlet;,Old French
E per es mund roal allar,Old French
tot babzizar in|trinitad,Old French
qui lui credran cil erent salv,Old French
qui no|l cretran seran damnat,Old French
Signes faran li soi fidel,Old French
quals el abanz faire soliaet,Old French
lingues noves il parlaran,Old French
et diables encal-ceran;,Old French
Si|alcuns d'els beven veren,Old French
non|aura|mal zo sab per ver,Old French
sobrae malabdes mans metran,Old French
et sanitad a|toz rendran;,Old French
Sus en|u|mont don-che|s montet,Old French
que holivet numnat vo-s|ai,Old French
levet sa man si|l benedis,Old French
vengre la|nuvols si|l|collit;,Old French
E lor vedent montet en cel,Old French
ad dextris deu ihesus es set,Old French
qui venra toz iudicar,Old French
a|toz rendra e|ben e|mal:,Old French
Li soi fidel en son|tornat.,Old French
al|dezen iorn ia cum per-veng,Old French
spiritus sanctus sobr'elz chad,Old French
de celo didicent pentecostem,Old French
s'il|s'en-flamet cum fugs ardenz;,Old French
Il|des ab-anz sunt aserad,Old French
de crist non sabent mot parlar,Old French
en pasche veng vertuz de cel,Old French
il non dobten negun iudeu;,Old French
Pertoz lengatgues van parlan,Old French
las virtuz crist van annuncian,Old French
no lor pod om vivs contrastar,Old French
signes fazen per podestad;,Old French
Spandut sunt per tot ces mund,Old French
regnum dei nun-cent per-tot,Old French
pertot convertent gent et popu,Old French
χρistus ihesus per-tot ab|elz;,Old French
Lo satanas dol en|a|grand,Old French
als deu fidels fai durs afanz,Old French
alcans en|cruz fai los levar,Old French
alquanz d'es-pades degollar;,Old French
El|los alquanz fai|escorter,Old French
alquant en fog vivs trebucher,Old French
et en|gradi|li|els fai|t-oster,Old French
al-quanz ap petdres lapider;,Old French
Lui|que aiude nuls vencera,Old French
cum peis lor fai il creisent mais,Old French
lo|cap a|crist es|vegurad,Old French
per tot es mund es ad-horaz;,Old French
Nos cestes pugnes non aven.,Old French
contra nos-eps pugnar deven,Old French
frainde deven nostrae voluntaz,Old French
que part aiam ab nos deu fidels;,Old French
Quar fini|munz non es mult lon,Old French
et regnum deu fort-ment es prob,Old French
drontre nos lez facam lo ben,Old French
gurpissen mund et som peccad;,Old French
Χρistus ihesus qui man en sus,Old French
mercet aias de|pechedors,Old French
en|talz raizon si|am mespraes,Old French
per ta|pitad lor per-dones;,Old French
Te pos-che retdre graciae,Old French
davant to paire gloriae,Old French
sanz spiritum posche laudar,Old French
et nunc per|tot in secula.,Old French
ΑΜΗΝ,Old French
LA,Old French
VIE DE; Saint ALEXIS,Old French
I. On trouvera le texte exact des manuscrits LAP et les variantes utiles,Old French
"de SM, ainsi que les propositions de corrections des divers éditeurs ou com-",Old French
"mentateurs (sauf celles de mon édition de ), dans le livre suivant, dont je",Old French
ne saurais trop recommander l'emploi aux étudiants en philologie française :,Old French
Altfranzpsisches Uebungsbuch... heratisgegehen von W. Foerster iind E. Kos-,Old French
"chwitz, Erster Theil {Zweite vermehrte Atiflagc), Leipzig, . Voir",Old French
"aujourd'hui la quatrième édition, Leipzig,   ; on y trouvera aussi les indi-",Old French
cations bibliographiques nécessaires.,Old French
LA,Old French
VIE DE SAINT ALEXIS,Old French
"I Bons fut li siècles al tems anciënour,",Old French
"Quer feit i eret e justis/e ed amour,",Old French
"S'i ert credance, dont or n'i at nul prout ;",Old French
"Toz est mudez, perdude at sa colour :",Old French
Ja mais n'iert tels com fut as anceisours.,Old French
II Al tems Noe ed al tems Abraam,Old French
"Ed al David, cui Deus par amat tant,",Old French
Bons fut li siècles : ja mais n'iert si vaillanz ;,Old French
"Vielz est e frai^les, toz s'en vait déclinant,",Old French
Sist empeiriez toz biens vait remanant.,Old French
"III Puis icel tems que Deus nos vint salver,",Old French
"Nostre anceisour ourent crestiantet,",Old French
Si fut uns sire de Rome la citet ;,Old French
"Riches om fut, de grant nobilitet :",Old French
Por col vos di d'un son fil vueil parler.,Old French
"' IV Eufemiiens, si out a nom li pedre,",Old French
"Coms fut de Rome, del mielz qui donc i eret ;",Old French
Sour toz ses pers l'amat li emperedj'e.,Old French
"Donc prist moillier vaillant ed onorede,~",Old French
Des mielz gentils de tote la contrede.,Old French
Vie de saint Alexis i,Old French
LA VIE DE SAINT ALEXIS,Old French
V Puis conversèrent ensemble longement.,Old French
Qued enfant n'ourent peiset lour en fortnient ;,Old French
Deu en apelent amdui parfitement :,Old French
"« E ! reis célestes, par ton comandement",Old French
Enfant nos donc qui seit a ton talent ! » s,Old French
VI Tant li preierent par grant umilitet,Old French
Que la moillier donat feconditet :,Old French
"Un fil lour donet, si luin sourent bon gret.",Old French
De saint batesme l'ont fait régénérer :,Old French
Bel nom li mistrent solonc crestiantet.,Old French
"VII Batisiez fut, si out nom Alexis :",Old French
Qui Tout portet volentiers le nodrit ;,Old French
Puis li bons pedre ad escole le mist :,Old French
Tant aprist letres que bien en fut guarniz ;,Old French
Puis vait li enfes l'emperedour servir.,Old French
VIII Quant veit li pedre que mais n'avrat enfant.,Old French
"Mais que cel soûl cui il par amat tant,",Old French
Donc se porpenset del siècle ad en avant :,Old French
Or vuelt que prenget moillier a son vivant ;,Old French
Donc li achatet fille ad un noble franc. ^o,Old French
IX Fut la pulcele de molt hait parentet.,Old French
Fille ad un comte de Rome la citet :,Old French
"N'at plus enfant, li vuelt molt onorer.",Old French
Ensemble en vont li dui pedre parler :,Old French
Lour dous enfanz vuelent faire assembler.  s,Old French
X Noinent le terme de lour assemblement ;,Old French
"Quant vint al faire, donc le font gentement :",Old French
Damz Alexis l'esposat bêlement ;,Old French
Mais çost tels plaiz dont ne volsist neient :,Old French
De tôt en tôt a Deu at son talent.,Old French
"V,  — XVI, o",Old French
"XI Quant li jorz passet ed il fut anoitiet,",Old French
"Çc) dist li pedre : a Filz, quer t'en va colchier",Old French
"Avuec ta spouse, al cornant Deu del ciel. »",Old French
Ne volst li enfçs son pedrç corrocier :,Old French
\'ait en la chambre o sa gentil moillier.,Old French
"XII Com vit le lit, esguardat la pulcelç,",Old French
"Donc li remembret de son seignour céleste,",Old French
Que plus at chier que tote rien terrestre :,Old French
"/ « E ! Deus », dist il, « si forz péchiez m'apresset !",Old French
"S'orne m'en fui, molt criem que ne t'en perde. »",Old French
"XIII Quant en la chambre furent tuit soûl rçrnes,",Old French
Daniz Alexis la prist ad apeler :,Old French
"La mortel vide li prist molt a blasmer,",Old French
De la céleste li mostrat veritet ;,Old French
Mais lui ert tart qued il s'en fust tornez.,Old French
"XIV « Oz mei, pulcele? Celui tien ad espous",Old French
Qui nos redemstde son sanc precious.,Old French
En icest siècle nen at parfite amour :,Old French
"La vide est frai^le, n""i at durable onour ;",Old French
Geste ledece revert a grant tristour. «,Old French
"XV Quant sa raison li at tote mostrede,",Old French
Donc li comandet les renges de sa spede,Old French
Ed un anel dont il Tout esposede.,Old French
Donc en ist fors de la chambre son pedre :,Old French
En mie nuit s'en fuit de la contrede.,Old French
XVI Donc vint edrant dreitement a la mer :,Old French
La nef est prest o il deveit entrer ;,Old French
Donet son pris ed enz est aloez ;,Old French
"Drecent lour sigle, laissent corre par mer :",Old French
La pristrent terre o Deus lour volst doner.,Old French
LA VIE DE SAINT ALEXIS,Old French
"XVII Dreit a Lalice, ço fut citet molt bêle,",Old French
Iluec arrivet sainement la nacele.,Old French
Donc en eissit damz Alexis a terre ;,Old French
Mais ço ne sai com longes i converset,Old French
O qued il seit de Deu servir ne cesset.,Old French
XVIII Puis s'en alat en Alsis la citet,Old French
"Por une imagine dont il odit parler,",Old French
Qued ang^le firent par comandement Deu,Old French
"El nom la virg^^ne qui portât salvetet, \",Old French
"Sainte Marie, qui portât Damnedeu.",Old French
"XIX Tôt son aveir qu'o sei en at portet,",Old French
"Tôt le départ, que giens ne luin remest ;",Old French
Larges almosnes par Alsis la citet,Old French
Donat as povres o qu'il les pout trover :,Old French
Por nul aveir ne volst estre encombrez.,Old French
"XX duant son aveir lour at tôt départit,",Old French
"Entre les povres s'assist damz Alexis,",Old French
Receut l'almosne quant Deus la li tramist :,Old French
Tant en retient dont son cors puet guarir ;,Old French
"Se luin remaint, sil rent as poverins.",Old French
XXI Or revendrai al pedre ed a la medre,Old French
Ed a la spouse qui soûle fut remese.,Old French
"duant il ço sourent qued il foïz s'en eret,",Old French
Ço fut granz duels qued il en démenèrent,Old French
E granz deplainz par tote la contrede.,Old French
"XXII Ço dist li pedre : « Chiers filz, com t'ai perdut ! »",Old French
Respont la medre : « Lasse ! qu'est devenuz ? »,Old French
Ço dist la spouse : « Péchiez le m'at tolut.,Old French
"Amis, bels sire, si pou vos ai oût !",Old French
Or sui si graime que ne puis estre plus. » no,Old French
"XVII,  — XXVIII, I",Old French
XXIII Donc prent li pedrç de ses meillours serjanz .,Old French
"Par moites terres fait querrç son enfant,",Old French
Jusque en Alsis en vindrent dui edrant :,Old French
Iluec troverent dam Alexis sedant ;,Old French
Mais ne conourent son vis ne son semblant. ii$,Old French
XXIV Si out li enfes sa tendre charn mudede,Old French
Nel reconoLirent li dui serjant son pedre :,Old French
A lui medisme ont l'almosne donede ;,Old French
Il lareceut come li altre fredre.,Old French
"Nel reconourent, sempres s'en retornerent.",Old French
XXV Nel reconourent ne ne l'ont enterciet.,Old French
Damz Alexis en lodet Deu del ciel,Old French
D'icez sons sers cui il est almosniers ;,Old French
"Il fut lour sire, ore est lour provendiers :",Old French
Ne vos sai dire come il s'en firet liez.,Old French
"XXVI Cil s'en repaidrent a Rome la citet,",Old French
Noncçnt al pedre que nel pourent trover.,Old French
Sed il fut graims ne l'estuet demander.,Old French
"La boue medre s'en prist a dementer,",Old French
E son chier fil sovent a regreter.,Old French
"XXVII « Filz Alexis, por queit portât ta medre ? •",Old French
"Tu m'ies foïz, dolente en sui remese.",Old French
Ne sai le lueu ne ne sai la contrede,Old French
O t'alge querre : tote en sui esguarede. ),Old French
"Ja mais n'ier liede, chiers filz, ne n'iert tes pedre. »",Old French
"XXVIII Vint en la chambre, pleine de marrement,",Old French
Si la desperet que n'i remest neient :,Old French
N'i remest pahe ne neul ornement.,Old French
A tel tristour atornat son talent,Old French
One puis cel di nés contint liedement.,Old French
LA VIE DE SAINT ALEXIS,Old French
"XXIX « Chambre, » disi cle, « ja mais n'estras parede,",Old French
Ne ja ledece n'iert en tei demenede ! »,Old French
Si l'at destruite com s'ost l'oust predede ;,Old French
Sas i fait pendre e cinces deramedes :,Old French
Sa grant onour a grant duel at tornede.,Old French
"XXX Del duel s'assist la medre jus a terre,",Old French
Si fist la spouse dam Alexis a certes :,Old French
"« Dame », dist ele, « jo ai fait si grant perte!",Old French
Des or vivrai en guisç de tortrele :,Old French
"Quant n'ai ton fil, ensemble o tei vueil estre. »",Old French
"XXXI Respont la medre : « S'o mei te vuels tenir,",Old French
Sit guarderai por amour Alexis,Old French
Ja n'avras mel dont te puisse guarir.,Old French
Plaignoms ensemble le duel de nostre ami.,Old French
"Tu por ton per, jol ferai por mon fil. »",Old French
"XXXII Ne puet altre estre, metent Tel considrer;",Old French
"Mais la dolour ne puedent oblidér,",Old French
Damz Alexis en Alsis la citet,Old French
Sert son seignour par bone volentet :,Old French
Ses enemis nel puet onc enjaner.,Old French
"""xxxiii Dis e set anz, n'en fut neient a dire,",Old French
Penat son cors el Damnedeu servisse :,Old French
Por amistiet ne d'ami ne d'amie,Old French
Ne por onours qui lui fussent tramises,Old French
N'en vuelt torner tant come il at a vivre.,Old French
xxxiv Quant tôt son cuer en at si afermet,Old French
"Que ja son vuel n'eistrat de la citet,",Old French
Deus fist rimag(?ne por soue amour parler,Old French
Al servitour qui serveit a Talter ;,Old French
Ço li comandet : « Apele l'ome Deu. »,Old French
"XXIX,  — XI.,",Old French
XXXV Ço dist l'imagt'nç : « Fai Tome Deu venir;,Old French
"Quer il at Deu bien ed a gret servit,",Old French
Ed il est dignes d'entrer en paradis. »,Old French
"Cil vait, sil quiert, mais il nel set choisir,",Old French
Icel saint orne dç cui rimagcne dist.,Old French
XXXVI Revint li costre a l'imag^me el mostier :,Old French
"« Certes », dist il, « ne sai cui entercier. »",Old French
Respont l'imagine : « Çost cil qui très l'uis siet.,Old French
Près est de Deu e del règne del ciel :,Old French
Par nule guise ne s'en vuelt esloignier. »,Old French
"xxxvii Cil vait, sil quiert, fait Tel mostier venir.",Old French
Es vos l'essample par irestot le pais,Old French
due celé imagine parlât por Alexis :,Old French
"Trestuit l'onourent, li grant e li petit,",Old French
E tuit li prient que d'els aiet mercit.,Old French
xxxviii Quant il ço veit quel vuelent onorer :,Old French
"« Certes », dist il « n'i ai mais ad ester;",Old French
D'iceste onour nem revueil encombrer. »,Old French
En mie nuit s'en fuit de la citet :,Old French
Dreit a Lalicç rejoint li sons edrers.,Old French
xxxix Damz Alexis entrât en une nef : *,Old French
"Ourent lour vent, laissent corre par mer;",Old French
"Dreit a Tarson espeiret arriver,",Old French
Mais ne puet estre ; aillours l'estuet aler :,Old French
Tôt dreit a Rome les portet li orez.,Old French
"XL Ad un des porz qui plus est près de Rome,",Old French
Iluec arrivet la nef a cel saint ome.,Old French
"Quant veit son règne, molt fortment se redotet",Old French
"De ses parenz, qued il nel reconoissent",Old French
E de l'onour del siècle ne l'encombrent.,Old French
LA VIE DE SAINT ALEXIS,Old French
"XLi « E ! Deus », dist il, « bels reis qui tôt governes,",Old French
"Se tei ploûst, ici ne volsisse estre.",Old French
S'or me conoissent mi parent d'esté terre.,Old French
Il me prendront par pri o par podeste :,Old French
"Se jos en creit, il me trairont a perte.",Old French
"XLii « E neporuec mes pedrç me desidret,",Old French
"Si fait ma medre plus que feme qui vivet,",Old French
Avuec ma spouse que jo lour ai guerpide.,Old French
— Or ne lairai nem mete en lour baillie :,Old French
Nem conoistront : tanz jorz at que nem vidrent. »,Old French
XLiii Ist de la nef e vait edrant a Rome :,Old French
"Vait par les- rues dont il ja bien fut cointes,",Old French
"Altre puis aitre, mais son pedre i encontret,",Old French
Ensemble o lui grant masse de ses omes ;,Old French
"Sil reconout, par son dreit nom le nomet :",Old French
"XLiv « Eufemiiens, bels sire, riches om,",Old French
duer me herberge por Deu en ta maison :,Old French
Soz ton deoret me fai un orahaium,Old French
Empor ton fil dont tu as tel dolour.,Old French
"Toz sui enfers, sim pais por soue amour. »",Old French
"XLV Quant ot li pedre la clamour de son fil,",Old French
"Plourent sui ueil, ne s'en puetastenir :",Old French
« Por amour Deu e por mon chier ami,Old French
"Tôt te donrai, bons om, quant que m'as quis,",Old French
Lit ed ostel e pain e charn e vin.,Old French
"XLVi « E ! Deus », dist il, « quer oûsse un serjant",Old French
Quil me guardast ! Jo l'en fereie franc. »,Old French
Un en i out qui sempres vint avant :,Old French
"« Es mei », dist il, «quil guart par ton comant :",Old French
Por toue amour en soferrai l'ahan. »,Old French
"XLi,  — LU,",Old French
XLVii Cil le menât endrcit soz le degret :,Old French
Fait lui son lit o il puet reposer ;,Old French
Tôt li amanvet quant que besoin/ li ert :,Old French
Vers son seignour ne s'en vuelt mesaler ;,Old French
Par nule guise ne l'en puet om blasmer. ?^,Old French
XLviii Sovent le vidrent e li pedre e la medre,Old French
E la pulcele quçd il out esposede :,Old French
Par nule guise onques ne l'avisèrent ;,Old French
"N'il nelourdist, ned il nel demandèrent,",Old French
Quels om esteit ne de quel terre il eret.,Old French
XLix Soventes feiz les veit grant duel mener^,Old French
"E de lour uelz molt tendrement plorer,",Old French
"Trestot por lui, onques neient por el :",Old French
"Il les esguardet, sil met el considrer ;",Old French
"N'at soing quel veiet, si est a Deu tornez.",Old French
"L Soz le degret o il gist sour sa nate,",Old French
lluec paist l'om del relief de la table.,Old French
A grant poverte déduit son grant parage :,Old French
Ço ne vuelt il que sa medre le sachet :,Old French
Plus aimet Deu que trestot son lignage.,Old French
LI De la viande qui del herberc li vient,Old French
Tant en retient dont son cors en sostient :,Old French
"Se luin remaint, sil rent as provendiers ;",Old French
"N'en fait musjode por son cors engraissier,",Old French
Mais as plus povres le do net a mangier.,Old French
LU En sainte église converset volentiers ;,Old French
Chascune feste se faitacomungier ;,Old French
Sainte escriture ço ert ses conseilliers :,Old French
Del Deu servisse le ruevet esforcier ;,Old French
Par nule guise ne s'en vuelt esloignier.,Old French
J'ie de saint Alexis,Old French
LA VIE DE SAINT ALEXIS,Old French
"LUI Soz le degret o il gist e converset,",Old French
Iluec déduit liedement sa poverte.,Old French
Li serf son pedre qui la maisniede servent,Old French
Leur lavedures li getçnt sour la teste :,Old French
Ne s'en corrocçt ned il nçs en apelet.,Old French
"Liv Tuit l'escharnissent, sil tienent por bricon :",Old French
"L'aive li getent, si mueillent son liçon ;",Old French
"Ne s'en corrocet giens cil saintismes om,",Old French
Ainz priet Deu qued il le lour pardoinst,Old French
"Par sa mercit, quer ne sevent que font.",Old French
Lv Iluec converset ensi dis e set anz.,Old French
Nel reconout nuls sons apartenanz;,Old French
"Ne neuls om ne sont les sons ahanz,",Old French
Fors soûl le lit o il at geut tant :,Old French
Ne puet muder ne seit aparissant. s,Old French
Lvi Trente quatre anz at si son cors penet ;,Old French
Deus son servis/e li vuelt guedredoner :,Old French
Molt li agrieget la soue enfermetet ;,Old French
Or set il bien qued il s'en deit aler :,Old French
Cel son serjant at a sei apelet.,Old French
"Lvii « Quier mei, bels fredre, ed enque e parchemin",Old French
"Ed une pêne, ço pri, toue mercit. »",Old French
"Cil li aportçt, receit les Alexis ;",Old French
"De sei medisme tote la cbartre escrist,",Old French
Com s'en alat e come il s'en revint.,Old French
"Lviii Très sei la tint, ne la volst demostrer,",Old French
Nel reconoissent usque il s'en seit alez.,Old French
Pariitement s'at a Deu comandet.,Old French
"Sa fin apruismet, ses cors est agrevez;",Old French
De tôt en tôt recesset del parler.,Old French
"LUI,  — LXIV,  II",Old French
Lix En la sedmaine qued il s'en deut aler,Old French
Vint une voiz treis feiz en la citct,Old French
"Fors del sacrane, par comandement Deu,",Old French
Q.ui ses fedeilz i at toz envidez :,Old French
Prest est la glor/e qued il li vueit doner.,Old French
"LX A l'altre voiz lour faitaltre somonse,",Old French
"Que l'orne Deu quiergent qui gist en Rome,",Old French
Si li dçprient que la citet ne fondet,Old French
Ne ne périssent la gent qui enz fregondent :,Old French
Qui l'ont odit remainent en grant dote.,Old French
LXi Sainz Innocenz ert idonc apostol/es.,Old French
"A lui en vindrent e li riche e li povre,",Old French
Si li requièrent conseil d'icele chose,Old French
"Qu'il ont odide, qui molt les desconfortet :",Old French
Ne guardent l'oure que terre les enclodet.,Old French
"LXii Li apostol/es e li emperedour,",Old French
"Li uns Arcad/e, li altre Onor/e out nom,",Old French
E toz li pueples par comune oreison,Old French
"Deprient Deu que conseil lour en doinst,",Old French
D'icel saint ome par cui il guariront.,Old French
"LXiii Ço li deprient, la soue piëtet.",Old French
Que lour enseint ol puissent recovrer.,Old French
Vint une voiz qui lour at enditet :,Old French
« En la maison Eufemiien querez.,Old French
"Quer iluec est, iluec le troverez. »",Old French
LXIV Tuit s'en retornent sour dam Eufemiien ;,Old French
Alquant le prenent fortment a blastengier :,Old French
"« Iceste chose nos deusses noncier,",Old French
A tôt le pueple qui ert desconseilliez.,Old French
Tant l'as celet molt i as grant pechiet. »,Old French
LA VIE DE SAINT ALEXIS,Old French
Lxv  s'escondit com H om qui nçl set;,Old French
Mais ne l'en creident : al herberc sont alet.,Old French
Il vait avant la maison aprester ;,Old French
Fortment l'enquiert a toz ses ménestrels :,Old French
Icil respondent que neuls d'els nçl set.,Old French
Lxvi Li apostol/es e li cmperedour,Old French
"Siedent es banse pensif e plorous,",Old French
Si les es;uardent tuit cil altre seio:nour :,Old French
o • • • o,Old French
Deprient Deu que conseil lour en doinst,Old French
D'icel saint orne par cui il guariront.,Old French
Lxvii En tant dementres come il iluec ont sis,Old French
Desseivret l'anime del cors saint Alexis :,Old French
Tôt dreitement en vait en paradis,Old French
A son seignour qu'il aveit tant servit.,Old French
"E! reis célestes, tu nos i fai venir!  <;",Old French
Lxviii Li bons serjanz quil serveitvolentiers,Old French
Il le nonçat son pedre Eufemiien ;,Old French
"Soef l'apelet, si li at conseilliez :",Old French
"« Sire », distil, « morz est tes provendiers,",Old French
E ço saidire qu'il fut bons crestiiens.,Old French
Lxix « Molt longement ai o lui converset :,Old French
"De nule chose certes nel sai blasmer,",Old French
E ço m'est vis que ço est li om Deu. »,Old French
Toz soûls s'en est Eufemiiens tornez ;,Old French
Vint a son fil o gist soz son degret.,Old French
Lxx Les dras sozlievet dont il esteit coverz :,Old French
Vit del saint ome le vis e cler ebel ;,Old French
"En son poing tient sa chartre li Deu sers,",Old French
O at escrit trestot le son convers :,Old French
Eufemiiens vuelt saveir qued espelt.,Old French
"LXV,  — LXXVI,",Old French
Lxxi II la vLicll prendre : cil nç li vuelt gueipir.,Old French
A l'apostol/e revient toz esbaïz :,Old French
"« Ore ai""trovet ço quêtant avoms quis :",Old French
Soz mon degret gist uns morz pèlerins ;,Old French
"Tient une chartre, mais ne li puis tolir. »",Old French
Lxxii Li apostol/es e li emperedour,Old French
"Vienent devant, getent s'ad oreisons,",Old French
Metent lour cors en granz afflictions :,Old French
"« Mercit, mercit, mercit, saintismes om !",Old French
Net conoùmes n'encor net conoissoms.,Old French
"Lxxiii « Ci devant tei estont dui pechedour,",Old French
Par la Deu gracie vochiet emperedour ;,Old French
Çost sa mercit qu'il nos consent l'onour.,Old French
De tôt cest mont somes nos jugedour :,Old French
Del ton conseil somes tuit besoignous.,Old French
Lxxiv « Cist apostol/es deit les anémies baillir :,Old French
Çost ses mestiers dont il at a servir ;,Old French
Donc li la par la toue mercit :,Old French
"Ço nos dirat qu'enz troverat escrit,",Old French
E ço doinst Deus qu'ore en poissiems guarir !,Old French
>/',Old French
Lxxv Li apostol/es tent sa main a la chartre ;,Old French
Sainz Alexis la soue li alaschet :,Old French
Lui la consent qui de Rome esteit pape.,Old French
Il ne la lit ned il dedenz n'esguardet :,Old French
Avant la tent ad un bon clerc e sav/e.,Old French
"Lxxvi Li chanceliers, cui li mestiers en eret,",Old French
Cil list la chartre ; li altre l'escolterent.,Old French
D'icele geme qued iluec ont trovede,Old French
"Le nom lour dist, del pedre e de la medre,",Old French
E ço lour dist de quels parenz il eret ;,Old French
I LA VIE DE SAINT ALEXIS,Old French
"Lxxvii E ço lour dist com s'en foït par mer,",Old French
"Corne en alat en Alsis la citet,",Old French
"E com l'imagine Deus fist por lui parler,",Old French
E por l'onoLir dont nés volst encombrer,Old French
S'en refoït en Rome la citet.,Old French
"Lxxviii duant ot li pedre ço que dit at la chartre,",Old French
Ad ambes mains deromt sa blanche barbe :,Old French
"« E ! filz », dist il, « com dolorous message !",Old French
"Vis atendeie qued a mei repaidrasses,",Old French
Par Deu mercit que tum reconfortasses. »,Old French
Lxxix A halte voiz prist li pedre a crider :,Old French
"« Filz Alexis, quels duels m'est présentez!",Old French
Malvaise guarde t'ai fait soz mon degret.,Old French
"A! las, pechables, com par fui avoglez!",Old French
"Tant t'ai vedut, si net poi aviser !",Old French
"Lxxx « Filz Alexis, de ta dolente medre !",Old French
"Tantes dolours at por tei enduredes,",Old French
"E tantes faims e tantes seiz passedes,",Old French
E tantes lairmes por le ton cors ploredes !,Old French
Cist duels l'avrat encui par acorede.,Old French
"Lxxxi « O filz, cui ierent mes granz créditez,",Old French
Mes larges terres dont jo aveie assez.,Old French
Mi grant palais en Rome la citet ?,Old French
"Empor tei, filz, m'en esteie penez :",Old French
Puis mon deces en fusses onorez.,Old French
Lxxxii « Blanc ai le chief e la barbe ai chenude :,Old French
Ma grant onour aveie retenude,Old French
"Empor tei, filz, mais n'en aveies cure.",Old French
Si grand dolour ui m'est apareude,Old French
"Filz, la toue an^me seit el ciel assolude !",Old French
"LXXVII,  LXXXVIII,",Old French
"Lxxxiii « Tei covçnist hclnie e bron/e a porter,",Old French
Espede a ceindre comç' tui altre per ;,Old French
"Ta grant maisniedç deusses governer,",Old French
"Le gonfonon l'emperedour porter,",Old French
Corn fist tes pedre e li tons parentez.,Old French
"Lxxxiv « A tel dolour ed a si grant poverte,",Old French
"Filz, t'ies deduiz par aliènes terres !",Old French
E d'icel bien qui toz deust tons estre,Old French
Pou en perneies en ta povre herberge :,Old French
"Se Deu ploûst, sire en deusses estre. »",Old French
Lxxxv Dç la dolour que démenât li pedre,Old French
"Grant fut la noise, si l'entendit la medre :",Old French
La vint corant com feme forsenede ;,Old French
